record_type,canonical_identity,overlay_file,overlay_sha256,preset_directory,preset_info_sha256,alias
"BINDING","Neon Dreams","048. STYLE - Neon Dreams.ini","3cd822532c3cac9fb9f673bda981a7156269dc4bada9985b07242d4145d4c0e0","Neon Dreams","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Neutral","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","Neutral","d01eea7fd15fd49d16c4602d95b20231ca22550ac43aa59530fa80d970c1865e",""
"BINDING","Noir","050. STYLE - Noir.ini","ca50ffbe0c9ba4c5549a88647ff0ea42758bfad260b07fa2880c339978f551e9","Noir","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Nordic Saga","051. STYLE - Nordic Saga.ini","425462812f41cdc28a66921dabc3d4f3f2a1bf8bf7f6326b4194a748686be265","Nordic Saga","afb5d9ce2a2be4f290e481c7846dc68d6a0ceeb630492d41cc80a14c1cdbfe38",""
"BINDING","Pastel Dream","052. STYLE - Pastel Dream.ini","70a251bb5ed877fb0dd04344845985344003856662dd591d62f896093913d67c","Pastel Dream","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Poetic Sepia","053. STYLE - Poetic Sepia.ini","313c7b24b352ae9a5d87d3aa737683c27b025713291363f794a1e066bc60a6c6","Poetic Sepia","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Rudy Inspired","054. STYLE - Rudy Inspired.ini","f2b4c556139751a2c6947d6d831675edcdb65034263a2f6df7c9b3a1564563d2","Rudy Inspired","2ad389acc549aed846cacadbe4e1507c629754f06c5c9a3c8bc3bf5d83413caf",""
"BINDING","Samurai Epic","055. STYLE - Samurai Epic.ini","f2debfa81750d3357b5da1dafa420559947548f6ca4a77d4d169d436fde5fc72","Samurai Epic","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Somber Tones","056. STYLE - Somber Tones.ini","260e4af50ecd2b8bccea300cb5d9970ee03df4b0fe8ec98ef8af8461be5ea8cd","Somber Tones","2ad389acc549aed846cacadbe4e1507c629754f06c5c9a3c8bc3bf5d83413caf",""
"BINDING","Storm and Chaos","057. STYLE - Storm & Chaos.ini","4d3ec04bd589aaa80ee25b30f61c97d4ea7fed163cb53a634dc43fe348f77b46","Storm and Chaos","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","The Revenant","058. STYLE - The Revenant.ini","5e732b4dc25970ae6bc01fc2835a4cbeb65c03ad03049e29a671f00a2704298e","The Revenant","f263a5aec9e2605ba2143c4bb79359870b5d0ff9ec9433627d85ff3e4ceb41b0",""
"BINDING","The Zone","059. STYLE - The Zone.ini","152847a0b14fc58d3001f83a12c52158f0fa5be7f44b6c8ab5b73f088e800530","The Zone","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Vibrant Fantasy","060. STYLE - Vibrant Fantasy.ini","1db1a48460914357cbdd26737cb53dd1e48ba049a22c031a8f804258f81b4fe2","Vibrant Fantasy","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Wanderer","061. STYLE - Wanderer.ini","adc0077853eb6c806458a9a875c51a60d4a8682b8ed05a21e55f0c30a58da2f5","Wanderer","f31be6303fa8bcbd1234594a49afdee7d2aab44296813ea51d7d4ad7d4feee43",""
"BINDING","Wretched","062. STYLE - Wretched.ini","528412d48b08c1dc91cb6088b285cdf183afc34d9340a3e68878aa38a32f086e","Wretched","2ad389acc549aed846cacadbe4e1507c629754f06c5c9a3c8bc3bf5d83413caf",""
"RETIRED","Elder Originals","061. STYLE - Elder Originals.ini","2cd5b2b1704698b573993befb62ba629027ef835c1226a1c162ae20975732f0d","","",""
"RETIRED","Emerald Forest","034. STYLE - Emerald Forest.ini","e88f2e7a927c08c0bc4db876d43892677848157a1be1b3a56c8783c9afd80444","","",""
"RETIRED","Ethqnm Edition","035. STYLE - Ethqnm Edition.ini","9174e7c6ce45fa036a441a4b4b601c4da3eaaf931e6aecc1b77c27a7cafb0ac6","","",""
"RETIRED","Faded Film","036. STYLE - Faded Film.ini","d0a0ea8c6837062c666b1a9f3ca494f4f1e6bfb335643aaeb26bc345429bdfbe","","",""
"RETIRED","Neutral","062. STYLE - Neutral.ini","ef954476f529b0af027843e860c85cce5752b9f1aed9f6a00fd400657cf583d9","","",""
"RETIRED","Noir","049. STYLE - Noir.ini","62f594e61daf4eda2ece0ffe1c76f676c8a2aaecb5bc7f0514898c4c6224637d","","",""
"RETIRED","Nordic Saga","050. STYLE - Nordic Saga.ini","4f349b1bab73416c1fb2c9e5085b68a51e8ebae3ae025f8c7ff974461d1795ab","","",""
"RETIRED","Pastel Dream","051. STYLE - Pastel Dream.ini","d753fa605f6ec715f09e3dd0ab0b8ef8807b473f989b38961fa897440e2b286b","","",""
"RETIRED","Poetic Sepia","052. STYLE - Poetic Sepia.ini","0f39fa146b08af9392f48f455aa8c7f8a0a28ce9a7c15413df0719588e76f158","","",""
"RETIRED","Rudy Inspired","053. STYLE - Rudy Inspired.ini","ad77ad60e5c073a8467c9289526f0f72bd886614fd42312a1a2fd72e6c6566ec","","",""
"RETIRED","Samurai Epic","054. STYLE - Samurai Epic.ini","e8a434025ef21cddeb5d1a60a38a6e42bd27e458b3d50a138a2478a37cdf28a0","","",""
"RETIRED","Somber Tones","055. STYLE - Somber Tones.ini","77b615ae17daef789adfb7be258e4d15b176639b7a8602d999ae671c67fedb97","","",""
"RETIRED","Storm and Chaos","056. STYLE - Storm & Chaos.ini","d0fb71c335f5f5603d0ed6b5f24d20c4dc86cee2239a4a33bae0fed5d7d66c52","","",""
"RETIRED","The Revenant","037. STYLE - The Revenant.ini","0b02732681229a60201ccb98a78e66a3a84471bd2bda973acb2791517ee8f3e1","","",""
"RETIRED","The Zone","057. STYLE - The Zone.ini","fec3611d3d891d260f59e746a2746d599269a9af082ea191d0e85e60eb2ca347","","",""
"RETIRED","Vibrant Fantasy","058. STYLE - Vibrant Fantasy.ini","7390ca38cca7ad178281fc495da4eef5791cec018e1f7e9b4e8e9676ccac9323","","",""
"RETIRED","Wanderer","059. STYLE - Wanderer.ini","48651f2bfe598a5c0dd59fc80f0a242cebb26344db78b9fd59a5ad7e86722adb","","",""
"RETIRED","Wretched","060. STYLE - Wretched.ini","9537712f7565a1fe5975bfc214f0d3ed95a7d021d1a4984e135740db1228009e","","",""
"ALIAS","10.28.16","","","","","10.28.16 (SE)"
"ALIAS","11.11.11","","","","","11.11.11 (LE)"
"ALIAS","Jötunheimar","","","","","Jotunheimar"
"ALIAS","Storm and Chaos","","","","","Storm & Chaos"
