record_type,bundle_id,profile_id,preset_directory,overlay_file,input_bundle_sha256,source_tree_sha256,expected_weather_records,expected_cloud_layers,max_double_tint_budget,scope,exposure_ev,chroma,tint_r,tint_g,tint_b,blend,min_luminance,max_luminance,rationale
"FAMILY","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"SNOW",-0.015,0.940,1.000,1.000,1.005,1.00,0.000,0.960,"Snow is nearly neutral with safe high-frequency highlight energy"
"FAMILY","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"STORM",-0.090,0.860,0.990,0.995,1.020,1.00,0.000,0.780,"Storms preserve classic contrast while recovering cool atmospheric depth"
"TIME","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"SUNRISE",-0.035,1.025,1.035,1.000,0.965,1.00,0.025,0.880,"Sunrise evokes the original warm palette with modern luminance control"
"TIME","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"DAY",0.000,1.000,1.000,1.000,1.000,1.00,0.000,0.960,"Day anchors the filmic response and protects white-point headroom"
"TIME","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"SUNSET",-0.055,1.030,1.045,1.000,0.955,1.00,0.020,0.860,"Sunset deepens the legacy amber signature without clipping"
"TIME","elder.11-11-11.first-pass","11.11.11","11.11.11","027. STYLE - 11.11.11 (LE).ini","8ab5a5d4456c72ee2bde69f7a97d2a27cff91ce97d7b22829cc3ef9621a7e59b","2079b12e5628d927351f384c8afc1843e875a3b5377cce4b539db5923ac1f2c2",711,29,0.16,"NIGHT",-0.070,0.910,0.985,1.000,1.025,1.00,0.012,0.350,"Night restores navigable color while staying subordinate to twilight"
"PROFILE","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"BASE",0.010,1.040,1.025,1.005,0.970,0.46,0.000,0.980,"Golden autumn atmosphere rooted in world lighting rather than stacked grading"
"FAMILY","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"CLEAR",0.015,1.025,1.025,1.000,0.975,1.00,0.000,0.960,"Clear skies carry a luminous harvest warmth with protected skin neutrality"
"FAMILY","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"CLOUDY",0.000,0.985,1.015,1.000,0.985,1.00,0.000,0.920,"Overcast weather retains muted copper undertones without flat orange wash"
"FAMILY","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"FOG",-0.030,0.890,1.020,1.000,0.980,1.00,0.000,0.850,"Fog becomes soft warm haze while remaining spatially coherent"
"FAMILY","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"RAIN",-0.055,0.925,1.005,1.000,0.995,1.00,0.000,0.880,"Rain cools the palette toward wet stone while retaining seasonal continuity"
"FAMILY","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"SNOW",-0.015,0.945,1.005,1.000,1.000,1.00,0.000,0.960,"Snow sheds the seasonal orange cast and keeps clean white detail"
"FAMILY","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"STORM",-0.090,0.870,0.995,1.000,1.010,1.00,0.000,0.780,"Storms break the warm scheme with slate depth and reduced energy"
"TIME","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"SUNRISE",-0.035,1.030,1.050,1.000,0.940,1.00,0.025,0.880,"Sunrise establishes honey-gold direction through world colors"
"TIME","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"DAY",0.000,1.000,1.000,1.000,1.000,1.00,0.000,0.960,"Day preserves broad highlight latitude for foliage and skin"
"TIME","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"SUNSET",-0.060,1.035,1.065,1.000,0.925,1.00,0.020,0.850,"Sunset reaches the strongest copper-gold note beneath the tint budget"
"TIME","elder.arrival-of-autumn.first-pass","Arrival of Autumn","Arrival of Autumn","029. STYLE - Arrival of Autumn.ini","7cd9173bf1da0e7b3f7de64e447e271f16bdd0d9cfe18e92c3e9e17488b687d4","93cef70f20aaaaff2f2640d247ba0971a8af049dcd0e7f59e2d3742fa3fcfc92",711,29,0.19,"NIGHT",-0.090,0.900,0.985,1.000,1.025,1.00,0.012,0.330,"Night releases the warm grade and returns to readable neutral blue"
"PROFILE","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"BASE",-0.020,0.980,0.975,1.005,1.035,0.47,0.000,0.980,"Glacial Nordic atmosphere with luminous cold depth and readable darkness"
"FAMILY","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"CLEAR",0.010,1.010,0.990,1.000,1.015,1.00,0.000,0.960,"Clear skies remain crisp and cold without synthetic cyan clipping"
"FAMILY","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"CLOUDY",-0.005,0.970,0.985,1.000,1.025,1.00,0.000,0.920,"Cloud mass gains blue-grey depth and softened chroma"
"FAMILY","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"FOG",-0.035,0.870,0.980,1.000,1.030,1.00,0.000,0.850,"Fog reads as cold suspended atmosphere with exact horizon continuity"
"FAMILY","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"RAIN",-0.060,0.900,0.975,0.995,1.035,1.00,0.000,0.870,"Rain pushes toward steel and slate while keeping green contamination low"
"FAMILY","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"SNOW",-0.020,0.930,0.985,1.000,1.025,1.00,0.000,0.960,"Snow holds blue ambient character while preserving white texture"
"FAMILY","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"STORM",-0.100,0.840,0.970,0.995,1.045,1.00,0.000,0.760,"Storms become monumental cold masses with disciplined luminance"
"TIME","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"SUNRISE",-0.050,1.015,1.015,1.000,0.990,1.00,0.025,0.870,"Sunrise introduces a narrow warm edge against the glacial field"
"TIME","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"DAY",0.000,1.000,1.000,1.000,1.000,1.00,0.000,0.960,"Day keeps icy color separation inside clean highlight limits"
"TIME","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"SUNSET",-0.070,1.020,1.025,1.000,0.980,1.00,0.020,0.840,"Sunset provides restrained fire against cold ambient structure"
"TIME","elder.jotunheimar.first-pass","Jötunheimar","Jötunheimar","041. STYLE - Jotunheimar.ini","0dfccfcd09acdcdcd9ba9a3b4763a458827150238495cb0e61aa1868566ad7d5","b33111b69bcbe4165f10514ef5c6bc78358d9d986c2336bf32ca04b7f30d168a",711,29,0.22,"NIGHT",-0.100,0.880,0.965,0.995,1.055,1.00,0.012,0.320,"Night is deep glacial blue with a guaranteed readable luminance floor"
"PROFILE","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"BASE",0.000,1.000,1.000,1.000,1.000,0.32,0.000,0.980,"Calibrated natural baseline with minimal authored bias and clear separation"
"FAMILY","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"CLEAR",0.010,1.010,1.005,1.000,0.995,1.00,0.000,0.960,"Clear weather gains only a trace of solar warmth"
"FAMILY","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"CLOUDY",0.000,0.990,1.000,1.000,1.003,1.00,0.000,0.920,"Cloud cover remains chromatically neutral with slight depth separation"
"FAMILY","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"FOG",-0.025,0.900,1.000,1.000,1.000,1.00,0.000,0.860,"Fog is low contrast and strictly neutral for calibration utility"
"FAMILY","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"RAIN",-0.050,0.940,0.995,1.000,1.008,1.00,0.000,0.890,"Rain receives a small cool shift consistent with wet atmospheric scattering"
"FAMILY","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"SNOW",-0.010,0.960,0.998,1.000,1.005,1.00,0.000,0.960,"Snow remains reference-neutral and unclipped"
"FAMILY","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"STORM",-0.080,0.880,0.990,0.998,1.015,1.00,0.000,0.800,"Storms lower energy and cool modestly without a stylized cast"
"TIME","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"SUNRISE",-0.030,1.010,1.020,1.000,0.980,1.00,0.025,0.890,"Sunrise introduces a natural low-angle warmth with minimal bias"
"TIME","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"DAY",0.000,1.000,1.000,1.000,1.000,1.00,0.000,0.960,"Day is the reference-neutral luminance anchor"
"TIME","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"SUNSET",-0.045,1.015,1.025,1.000,0.975,1.00,0.020,0.880,"Sunset remains believable and restrained for comparison work"
"TIME","elder.neutral.first-pass","Neutral","Neutral","049. STYLE - Neutral.ini","7ff37c19f9a4c6e120cce787e3f085971755491434579650cc746f676e96f12e","0ccddfb8b19ba1c3ddd49a156c28bf8b07838b8801bf8e19343019667710e359",711,29,0.12,"NIGHT",-0.060,0.930,0.985,1.000,1.025,1.00,0.012,0.360,"Night retains neutral detail and a practical visibility floor"
