record_type,bundle_id,profile_id,overlay_file,overlay_sha256,preset_directory,preset_tree_sha256,expected_repairs,art_direction,layer,relative_path,file_sha256,section,key,semantic_type,guard_value,operation,operand,min_value,max_value,rationale
"RULE","","Arrival of Autumn","","","","","","","OVERLAY","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","OVERLAYPARAM9","Operation","OVERLAY_OPERATION","""+ 0.12""","SET","""+ 0.09""","-1","1","preserve_autumn_chroma_without_clipping"
"RULE","","Arrival of Autumn","","","","","","","OVERLAY","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","OVERLAYPARAM16","Operation","OVERLAY_OPERATION","""+ 0.12""","SET","""+ 0.16""","-1","1","extend_golden_highlight_rolloff"
"RULE","","Arrival of Autumn","","","","","","","OVERLAY","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","OVERLAYPARAM19","Operation","OVERLAY_OPERATION","""+ 0.08""","SET","""+ 0.06""","-1","1","reduce_day_bloom_density"
"RULE","","Arrival of Autumn","","","","","","","OVERLAY","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","OVERLAYPARAM20","Operation","OVERLAY_OPERATION","""+ 0.1""","SET","""+ 0.08""","-1","1","keep_bloom_golden_without_color_smear"
"RULE","","Arrival of Autumn","","","","","","","OVERLAY","029. STYLE - Arrival of Autumn.ini","389694be65d0d968c1aecb9d96ca7f07f8f469d0d311c20ab4ef35f466d1eecd","OVERLAYPARAM24","Operation","OVERLAY_OPERATION","""+ 0.18""","SET","""+ 0.12""","-1","1","temper_postpass_vibrance_for_skin_tones"
"RULE","","Arrival of Autumn","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","2abb0a96abf0d49779871a86e7de095f92710f8a0245855b40755258b487cc64","","Saturation","SCALAR","1.17","SET","1.12","0","2","protect_day_imagespace_chroma_headroom"
"RULE","","Arrival of Autumn","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","2abb0a96abf0d49779871a86e7de095f92710f8a0245855b40755258b487cc64","","Brightness","SCALAR","1.02","SET","1","0","2","restore_day_luminance_headroom"
"RULE","","Arrival of Autumn","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","2abb0a96abf0d49779871a86e7de095f92710f8a0245855b40755258b487cc64","","Contrast","SCALAR","1.03","SET","1.02","0","2","soften_skin_and_foliage_highlight_edges"
"RULE","","Arrival of Autumn","","","","","","","KREATE","ImageSpaces/ISVividClearNIGHT.ini","97d965ebf2362cc00a7efee973c4f8f14cb0e730191a34dfe33abfd5a2bd6869","","Saturation","SCALAR","1.17","SET","1.10","0","2","control_night_warmth_saturation"
"RULE","","Arrival of Autumn","","","","","","","KREATE","ImageSpaces/ISVividClearNIGHT.ini","97d965ebf2362cc00a7efee973c4f8f14cb0e730191a34dfe33abfd5a2bd6869","","Tint","VECTOR4","0.68, 0.52, 0.4, 0.08","SET","0.62, 0.52, 0.44, 0.06","0","1","reduce_orange_cast_while_preserving_warm_identity"
"RULE","","Arrival of Autumn","","","","","","","KREATE","Weathers/SunnyTU.ini","af37d84e52179648f643927e03e951390279267f9e7e7755b179eb5b8a0bd4f4","Colors","SkyUpperDay","VECTOR3","0.359751, 0.6540920000000001, 0.71097","SCALE_RGB","1.03, 1, 0.98","0","1","retain_golden_clear_sky_without_teal_drift"
"RULE","","Arrival of Autumn","","","","","","","KREATE","Weathers/SunnyTU.ini","af37d84e52179648f643927e03e951390279267f9e7e7755b179eb5b8a0bd4f4","Colors","CloudLodDiffuseDay","VECTOR3","0.849999, 0.849999, 0.553068","SCALE_RGB","0.98, 1, 1.08","0","1","recover_cloud_highlight_neutrality_under_gold"
"RULE","","Arrival of Autumn","","","","","","","KREATE","Weathers/Snowstorm.ini","3fb89f6c1e2788ae2ec462b937a233c6a880fd9e3733f4e1cded13b4061ba8c4","Colors","CloudLodDiffuseDay","VECTOR3","0.688714, 0.52021, 0.351049","SCALE_RGB","0.98, 1, 1.08","0","1","separate_storm_clouds_from_clear_autumn_gold"
"RULE","","Jötunheimar","","","","","","","OVERLAY","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","OVERLAYPARAM3","Operation","OVERLAY_OPERATION","""+ -0.38""","SET","""+ -0.18""","-1","1","recover_night_exposure_without_losing_glacial_mood"
"RULE","","Jötunheimar","","","","","","","OVERLAY","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","OVERLAYPARAM4","Operation","OVERLAY_OPERATION","""+ -0.35""","SET","""+ -0.18""","-1","1","reduce_night_black_crush"
"RULE","","Jötunheimar","","","","","","","OVERLAY","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","OVERLAYPARAM7","Operation","OVERLAY_OPERATION","""+ -0.15""","SET","""+ -0.10""","-1","1","restore_snow_and_cloud_day_headroom"
"RULE","","Jötunheimar","","","","","","","OVERLAY","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","OVERLAYPARAM10","Operation","OVERLAY_OPERATION","""+ -0.2""","SET","""+ -0.08""","-1","1","improve_night_landmark_readability"
"RULE","","Jötunheimar","","","","","","","OVERLAY","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","OVERLAYPARAM12","Operation","OVERLAY_OPERATION","""+ -0.3""","SET","""+ -0.20""","-1","1","retain_cold_night_color_separation"
"RULE","","Jötunheimar","","","","","","","OVERLAY","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","OVERLAYPARAM17","Operation","OVERLAY_OPERATION","""+ -0.18""","SET","""+ -0.10""","-1","1","recover_white_snow_highlight_rolloff"
"RULE","","Jötunheimar","","","","","","","OVERLAY","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","OVERLAYPARAM30","Operation","OVERLAY_OPERATION","""+ -0.35""","SET","""+ -0.18""","-1","1","restore_subtle_night_chroma_variation"
"RULE","","Jötunheimar","","","","","","","OVERLAY","041. STYLE - Jotunheimar.ini","960c12ad63040fd7d488a6a5f1c477b61fc4c27faa6ed2e8fa600e13fba0c2a2","OVERLAYPARAM31","Operation","OVERLAY_OPERATION","""+ -0.2""","SET","""+ -0.08""","-1","1","open_night_shadows_without_flattening"
"RULE","","Jötunheimar","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","84a78f18e8f785ea69dc320e40be1ac3d27c0725cd78dadf820da007ac7a90c4","","Saturation","SCALAR","1.22","SET","1.15","0","2","control_day_imagespace_saturation"
"RULE","","Jötunheimar","","","","","","","KREATE","ImageSpaces/ISVividClearNIGHT.ini","06524f415d3936f074ae40443083f37fc948dee6f53627aab31452c6170efa66","","Saturation","SCALAR","0.95","SET","1","0","2","restore_readable_night_color_information"
"RULE","","Jötunheimar","","","","","","","KREATE","ImageSpaces/ISVividClearNIGHT.ini","06524f415d3936f074ae40443083f37fc948dee6f53627aab31452c6170efa66","","Brightness","SCALAR","0.98","SET","1.02","0","2","lift_night_imagespace_navigation_detail"
"RULE","","Jötunheimar","","","","","","","KREATE","Weathers/SunnyTU.ini","f250914df582283c3cdb2c484046c787455241276d0cf5a182671f8b5baf5500","Colors","SkyUpperDay","VECTOR3","0.32156864000000007, 0.5882353000000001, 0.89411765","SCALE_RGB","0.97, 1, 1.04","0","1","strengthen_glacial_clear_sky_separation"
"RULE","","Jötunheimar","","","","","","","KREATE","Weathers/SunnyTU.ini","f250914df582283c3cdb2c484046c787455241276d0cf5a182671f8b5baf5500","Colors","CloudLodDiffuseDay","VECTOR3","0.673333, 0.716667, 0.846667","SCALE_RGB","0.97, 1, 1.04","0","1","separate_cold_clouds_from_snow_horizon"
"RULE","","Jötunheimar","","","","","","","KREATE","Weathers/Snowstorm.ini","55613457d9e37d573ebefe52c5d149c85177c44c248d67fe86fc9ea129663680","Colors","SkyUpperNight","VECTOR3","0.018330353573119997, 0.018644079093119995, 0.019114667333119995","SCALE_RGB","0.98, 1, 1.04","0","1","retain_cold_storm_sky_structure_at_night"
"RULE","","Jötunheimar","","","","","","","KREATE","Weathers/Snowstorm.ini","55613457d9e37d573ebefe52c5d149c85177c44c248d67fe86fc9ea129663680","Colors","CloudLodDiffuseNight","VECTOR3","0.0305242, 0.030838, 0.0314654","SCALE_RGB","0.98, 1, 1.04","0","1","separate_night_clouds_from_storm_sky"
"RULE","","Neutral","","","","","","","OVERLAY","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","OVERLAYPARAM1","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ 0.02""","-1","1","small_day_calibration_lift"
"RULE","","Neutral","","","","","","","OVERLAY","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","OVERLAYPARAM3","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ 0.05""","-1","1","readable_reference_night_exposure"
"RULE","","Neutral","","","","","","","OVERLAY","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","OVERLAYPARAM6","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ 0.01""","-1","1","add_minimal_reference_contrast"
"RULE","","Neutral","","","","","","","OVERLAY","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","OVERLAYPARAM7","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ -0.01""","-1","1","prevent_reference_chroma_inflation"
"RULE","","Neutral","","","","","","","OVERLAY","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","OVERLAYPARAM12","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ 0.03""","-1","1","provide_reference_highlight_headroom"
"RULE","","Neutral","","","","","","","OVERLAY","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","OVERLAYPARAM13","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ 0.02""","-1","1","exclude_low_energy_reference_bloom"
"RULE","","Neutral","","","","","","","OVERLAY","049. STYLE - Neutral.ini","7dc31132a1ab24fd742fab36446d1883515a3993f373d36447dd61b98e1998e4","OVERLAYPARAM14","Operation","OVERLAY_OPERATION","""+ 0.0""","SET","""+ -0.02""","-1","1","keep_reference_bloom_restrained"
"RULE","","Neutral","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","d300ba9098d07fa692ae3572832d7bc7f2d2d72a1d7cb43b55a5dc4de8f255b0","","Saturation","SCALAR","1.05","SET","1","0","2","normalize_day_reference_saturation"
"RULE","","Neutral","","","","","","","KREATE","ImageSpaces/ISVividClearDAY.ini","d300ba9098d07fa692ae3572832d7bc7f2d2d72a1d7cb43b55a5dc4de8f255b0","","Contrast","SCALAR","1.02","SET","1","0","2","normalize_day_reference_contrast"
"RULE","","Neutral","","","","","","","KREATE","ImageSpaces/ISVividClearNIGHT.ini","f51cd0a1c9cd24cbd83300c7f4c4e44072eb2ed6e0b6b577f96f43e4366f95ad","","Saturation","SCALAR","1.05","SET","1","0","2","normalize_night_reference_saturation"
"RULE","","Neutral","","","","","","","KREATE","ImageSpaces/ISVividClearNIGHT.ini","f51cd0a1c9cd24cbd83300c7f4c4e44072eb2ed6e0b6b577f96f43e4366f95ad","","Contrast","SCALAR","1.02","SET","1","0","2","normalize_night_reference_contrast"
"RULE","","Neutral","","","","","","","KREATE","Weathers/SunnyTU.ini","af6812332197b0fa857439167b962fa13bf8346fb925c421a9886814a5dd99d3","Colors","SkyUpperDay","VECTOR3","0.370807, 0.618012, 0.618012","SCALE_RGB","1, 1, 1.08","0","1","restore_natural_blue_gradient_to_reference_sky"
"RULE","","Neutral","","","","","","","KREATE","Weathers/SunnyTU.ini","af6812332197b0fa857439167b962fa13bf8346fb925c421a9886814a5dd99d3","Colors","FogFarDay","VECTOR3","0.233464, 0.42448, 0.42448","SCALE_RGB","1, 1, 1.06","0","1","align_reference_horizon_with_upper_sky"
"RULE","","Neutral","","","","","","","KREATE","Weathers/Snowstorm.ini","de7361c7aed0a687e444b5bb2ec42853630b80ebfda19d14ba511cdd1acc2063","Colors","SkyUpperDay","VECTOR3","0.46148868608, 0.46293160608, 0.46293160608","SCALE_RGB","0.995, 1, 1.005","0","1","give_reference_storm_sky_subtle_cool_separation"
"RULE","","Neutral","","","","","","","KREATE","Weathers/Snowstorm.ini","de7361c7aed0a687e444b5bb2ec42853630b80ebfda19d14ba511cdd1acc2063","Colors","FogFarDay","VECTOR3","0.461489, 0.462932, 0.462932","SCALE_RGB","0.995, 1, 1.005","0","1","match_reference_storm_horizon_separation"
